# Frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
40	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
41	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
42	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
43	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
44	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
45	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
46	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
47	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
48	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
49	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
50	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
51	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
52	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
53	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
54	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
55	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
56	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
57	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
58	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
59	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
60	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
61	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
62	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
63	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
64	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
65	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
66	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
67	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
68	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
69	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
70	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
71	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
72	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
73	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
74	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
75	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
76	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
77	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
78	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
79	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
80	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
81	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
82	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
83	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
84	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
85	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
86	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
87	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
88	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
89	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
90	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
91	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
92	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
93	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
94	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
95	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
96	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
97	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
98	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
99	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
100	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
101	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
102	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
103	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
104	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
105	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
106	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
107	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
108	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
109	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
110	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
111	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
112	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
113	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
114	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
115	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
116	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
117	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
118	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
119	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
120	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
121	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
122	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
123	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
124	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
125	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
126	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
127	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
128	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
129	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
130	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
131	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
132	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
133	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
134	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
135	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
136	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
137	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
138	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
139	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
140	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
141	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
142	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
143	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
144	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
145	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
146	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
147	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
148	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
149	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
150	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
151	92.8931	92.8931	82.5655	90.0	90.0	90.0	712468.01861
152	92.7603	92.7603	82.4446	90.0	90.0	90.0	709392.106647
153	92.7565	92.7565	82.4961	90.0	90.0	90.0	709777.717377
154	92.8409	92.8409	82.3958	90.0	90.0	90.0	710205.266843
155	92.8548	92.8548	82.3702	90.0	90.0	90.0	710196.145393
156	92.8144	92.8144	82.6268	90.0	90.0	90.0	711789.353135
157	92.8075	92.8075	82.6109	90.0	90.0	90.0	711546.068408
158	92.7111	92.7111	82.7295	90.0	90.0	90.0	711088.394326
159	92.6309	92.6309	82.561	90.0	90.0	90.0	708413.427968
160	92.6754	92.6754	82.6244	90.0	90.0	90.0	709638.331869
161	92.7681	92.7681	82.7431	90.0	90.0	90.0	712080.509225
162	92.7453	92.7453	82.9843	90.0	90.0	90.0	713805.769998
163	92.6943	92.6943	82.8874	90.0	90.0	90.0	712187.731852
164	92.5228	92.5228	83.1467	90.0	90.0	90.0	711774.886911
165	92.5775	92.5775	83.1056	90.0	90.0	90.0	712263.967585
166	92.5016	92.5016	83.0956	90.0	90.0	90.0	711011.377875
167	92.6441	92.6441	83.2541	90.0	90.0	90.0	714564.610164
168	92.7176	92.7176	83.2302	90.0	90.0	90.0	715493.44012
169	92.73	92.73	83.0781	90.0	90.0	90.0	714375.698373
170	92.6315	92.6315	83.106	90.0	90.0	90.0	713099.239051
171	92.7724	92.7724	83.0672	90.0	90.0	90.0	714935.535302
172	92.7126	92.7126	83.1058	90.0	90.0	90.0	714346.416045
173	92.718	92.718	83.3362	90.0	90.0	90.0	716410.240034
174	92.6582	92.6582	83.2915	90.0	90.0	90.0	715103.658613
175	92.6793	92.6793	83.3716	90.0	90.0	90.0	716116.10031
176	92.5978	92.5978	83.3353	90.0	90.0	90.0	714546.612456
177	92.5477	92.5477	83.3428	90.0	90.0	90.0	713837.302334
178	92.581	92.581	83.3746	90.0	90.0	90.0	714623.518131
179	92.6165	92.6165	83.6742	90.0	90.0	90.0	717741.271003
180	92.5686	92.5686	83.707	90.0	90.0	90.0	717281.508377
181	92.4976	92.4976	83.5137	90.0	90.0	90.0	714526.13568
182	92.6303	92.6303	83.3989	90.0	90.0	90.0	715594.723204
183	92.5909	92.5909	83.32	90.0	90.0	90.0	714308.494966
184	92.5033	92.5033	83.1721	90.0	90.0	90.0	711692.093485
185	92.5184	92.5184	83.2906	90.0	90.0	90.0	712938.456399
186	92.6084	92.6084	83.2101	90.0	90.0	90.0	713635.738409
187	92.5612	92.5612	83.2855	90.0	90.0	90.0	713555.774263
188	92.5991	92.5991	83.2505	90.0	90.0	90.0	713838.51717
189	92.4673	92.4673	83.1862	90.0	90.0	90.0	711258.783654
190	92.4458	92.4458	83.2823	90.0	90.0	90.0	711749.897542
191	92.4054	92.4054	83.1562	90.0	90.0	90.0	710051.073777
192	92.5652	92.5652	83.1965	90.0	90.0	90.0	712854.585645
193	92.5099	92.5099	83.0814	90.0	90.0	90.0	711017.011735
194	92.4776	92.4776	83.0743	90.0	90.0	90.0	710459.920576
195	92.7327	92.7327	83.1604	90.0	90.0	90.0	715125.521435
196	92.6965	92.6965	83.1736	90.0	90.0	90.0	714680.617198
197	92.662	92.662	83.1409	90.0	90.0	90.0	713867.506081
198	92.6977	92.6977	83.0886	90.0	90.0	90.0	713968.571449
199	92.5604	92.5604	83.1054	90.0	90.0	90.0	712000.014741
200	92.5178	92.5178	83.1457	90.0	90.0	90.0	711689.381429
201	92.4792	92.4792	83.0234	90.0	90.0	90.0	710049.348366
202	92.5855	92.5855	83.1615	90.0	90.0	90.0	712866.121492
203	92.691	92.691	83.3233	90.0	90.0	90.0	715881.577473
204	92.623	92.623	83.2609	90.0	90.0	90.0	714297.06655
205	92.5624	92.5624	83.1405	90.0	90.0	90.0	712331.142595
206	92.5047	92.5047	83.3694	90.0	90.0	90.0	713401.942577
207	92.4306	92.4306	83.5133	90.0	90.0	90.0	713489.08846
208	92.4301	92.4301	83.6571	90.0	90.0	90.0	714709.742092
209	92.5828	92.5828	83.6979	90.0	90.0	90.0	717422.992117
210	92.3491	92.3491	83.6448	90.0	90.0	90.0	713353.120464
211	92.3529	92.3529	83.5358	90.0	90.0	90.0	712482.470368
212	92.2907	92.2907	83.6122	90.0	90.0	90.0	712173.340402
213	92.3374	92.3374	83.5332	90.0	90.0	90.0	712221.027694
214	92.2851	92.2851	83.5383	90.0	90.0	90.0	711457.615301
215	92.1676	92.1676	83.8129	90.0	90.0	90.0	711978.912071
216	92.2464	92.2464	83.9609	90.0	90.0	90.0	714457.22638
217	92.3559	92.3559	83.9966	90.0	90.0	90.0	716458.421182
218	92.4043	92.4043	83.999	90.0	90.0	90.0	717230.103671
219	92.2751	92.2751	83.9208	90.0	90.0	90.0	714559.234609
220	92.3433	92.3433	83.8648	90.0	90.0	90.0	715139.078542
221	92.2925	92.2925	84.0318	90.0	90.0	90.0	715774.142358
222	92.2168	92.2168	83.7376	90.0	90.0	90.0	712099.517115
223	92.213	92.213	83.762	90.0	90.0	90.0	712248.662141
224	92.2344	92.2344	83.6192	90.0	90.0	90.0	711364.653423
225	92.2419	92.2419	83.6871	90.0	90.0	90.0	712057.65768
226	92.2274	92.2274	83.5601	90.0	90.0	90.0	710753.919184
227	92.1876	92.1876	83.4954	90.0	90.0	90.0	709590.256585
228	92.1577	92.1577	83.4044	90.0	90.0	90.0	708356.717678
229	92.3315	92.3315	83.5164	90.0	90.0	90.0	711986.791064
230	92.3471	92.3471	83.547	90.0	90.0	90.0	712486.822724
231	92.3381	92.3381	83.4679	90.0	90.0	90.0	711673.870056
232	92.3716	92.3716	83.4307	90.0	90.0	90.0	711872.723227
233	92.5197	92.5197	83.3055	90.0	90.0	90.0	713085.428028
234	92.6207	92.6207	83.2392	90.0	90.0	90.0	714075.783083
235	92.622	92.622	83.2017	90.0	90.0	90.0	713773.134718
236	92.6388	92.6388	83.2264	90.0	90.0	90.0	714244.057099
237	92.6549	92.6549	83.3436	90.0	90.0	90.0	715499.495177
238	92.5358	92.5358	83.204	90.0	90.0	90.0	712465.446257
239	92.52	92.52	83.237	90.0	90.0	90.0	712503.686786
240	92.4552	92.4552	83.2474	90.0	90.0	90.0	711595.402693
